BlackForestLabs_Flux1Dev|flux|image|42.094
Gemini|gemini-2.0-flash-thinking-with-apps|text|21.026
Gemini|gemini-2.0-flash-thinking|text|22.025
Gemini|gemini-2.0-flash|text|21.034
Gemini|gemini-2.0|text|20.504
Gemini|gemini-2.5-flash|text|21.891
Gemini|gemini-3.1-flash-lite|text|21.029
Gemini|gemini-3.5-flash-lite-thinking|text|20.695
Gemini|gemini-3.5-flash-lite|text|20.166
Gemini|gemini-3.5-flash-thinking-lite|text|22.024
Gemini|gemini-3.5-flash-thinking|text|22.026
Gemini|gemini-3.5-flash|text|22.041
Gemini|gemini-3.6-flash-thinking|text|21.029
Gemini|gemini-auto|text|22.514
Gemini|gemini-flash-lite|text|22.025
Yqcloud|gpt-4|text|21.027
